V1,V2,V3
-126.225,45,-2775
-126.208267716535,45,-2782
-126.191535433071,45,-2789
-126.174803149606,45,-2794
-126.158070866142,45,-2798
-126.141338582677,45,-2801
-126.124606299213,45,-2802
-126.107874015748,45,-2803
-126.091141732283,45,-2802
-126.074409448819,45,-2799
-126.057677165354,45,-2795
-126.04094488189,45,-2789
-126.024212598425,45,-2786
-126.007480314961,45,-2787
-125.990748031496,45,-2788
-125.974015748031,45,-2785
-125.957283464567,45,-2785
-125.940551181102,45,-2789
-125.923818897638,45,-2799
-125.907086614173,45,-2811
-125.890354330709,45,-2820
-125.873622047244,45,-2823
-125.85688976378,45,-2827
-125.840157480315,45,-2823
-125.82342519685,45,-2820
-125.806692913386,45,-2815
-125.789960629921,45,-2809
-125.773228346457,45,-2804
-125.756496062992,45,-2798
-125.739763779528,45,-2794
-125.723031496063,45,-2790
-125.706299212598,45,-2789
-125.689566929134,45,-2789
-125.672834645669,45,-2788
-125.656102362205,45,-2785
-125.63937007874,45,-2779
-125.622637795276,45,-2768
-125.605905511811,45,-2757
-125.589173228346,45,-2747
-125.572440944882,45,-2736
-125.555708661417,45,-2749
-125.538976377953,45,-2747
-125.522244094488,45,-2739
-125.505511811024,45,-2746
-125.488779527559,45,-2759
-125.472047244094,45,-2773
-125.45531496063,45,-2779
-125.438582677165,45,-2761
-125.421850393701,45,-2726
-125.405118110236,45,-2575
-125.388385826772,45,-2403
-125.371653543307,45,-2418
-125.354921259843,45,-2417
-125.338188976378,45,-2067
-125.321456692913,45,-2050
-125.304724409449,45,-2067
-125.287992125984,45,-2005
-125.27125984252,45,-1378
-125.254527559055,45,-1089
-125.237795275591,45,-1188
-125.221062992126,45,-1143
-125.204330708661,45,-1331
-125.187598425197,45,-1459
-125.170866141732,45,-1573
-125.154133858268,45,-1607
-125.137401574803,45,-1338
-125.120669291339,45,-1255
-125.103937007874,45,-1417
-125.087204724409,45,-1435
-125.070472440945,45,-1258
-125.05374015748,45,-1229
-125.037007874016,45,-1078
-125.020275590551,45,-993
-125.003543307087,45,-924
-124.986811023622,45,-908
-124.970078740157,45,-875
-124.953346456693,45,-820
-124.936614173228,45,-805
-124.919881889764,45,-801
-124.903149606299,45,-804
-124.886417322835,45,-726
-124.86968503937,45,-703
-124.852952755906,45,-685
-124.836220472441,45,-666
-124.819488188976,45,-656
-124.802755905512,45,-652
-124.786023622047,45,-631
-124.769291338583,45,-613
-124.752559055118,45,-602
-124.735826771654,45,-571
-124.719094488189,45,-422
-124.702362204724,45,-445
-124.68562992126,45,-423
-124.668897637795,45,-434
-124.652165354331,45,-447
-124.635433070866,45,-449
-124.618700787402,45,-446
-124.601968503937,45,-450
-124.585236220472,45,-450
-124.568503937008,45,-448
-124.551771653543,45,-441
-124.535039370079,45,-426
-124.518307086614,45,-409
-124.50157480315,45,-392
-124.484842519685,45,-368
-124.46811023622,45,-340
-124.451377952756,45,-318
-124.434645669291,45,-289
-124.417913385827,45,-263
-124.401181102362,45,-240
-124.384448818898,45,-219
-124.367716535433,45,-201
-124.350984251968,45,-187
-124.334251968504,45,-176
-124.317519685039,45,-169
-124.300787401575,45,-166
-124.28405511811,45,-161
-124.267322834646,45,-156
-124.250590551181,45,-148
-124.233858267717,45,-134
-124.217125984252,45,-124
-124.200393700787,45,-116
-124.183661417323,45,-107
-124.166929133858,45,-98
-124.150196850394,45,-94
-124.133464566929,45,-89
-124.116732283465,45,-74
-124.1,45,-68
-124.083267716535,45,-57
-124.066535433071,45,-46
-124.049803149606,45,-33
-124.033070866142,45,-19
-124.016338582677,45,-1
-123.999606299213,45,27
-123.982874015748,45,32
-123.966141732283,45,120
-123.949409448819,45,187
-123.932677165354,45,236
-123.91594488189,45,294
-123.899212598425,45,192
-123.882480314961,45,187
-123.865748031496,45,247
-123.849015748031,45,238
-123.832283464567,45,423
-123.815551181102,45,545
-123.798818897638,45,584
-123.782086614173,45,702
-123.765354330709,45,855
-123.748622047244,45,775
-123.73188976378,45,721
-123.715157480315,45,722
-123.69842519685,45,706
-123.681692913386,45,730
-123.664960629921,45,685
-123.648228346457,45,612
-123.631496062992,45,560
-123.614763779528,45,558
-123.598031496063,45,543
-123.581299212598,45,418
-123.564566929134,45,601
-123.547834645669,45,650
-123.531102362205,45,509
-123.51437007874,45,460
-123.497637795276,45,485
-123.480905511811,45,510
-123.464173228346,45,469
-123.447440944882,45,363
-123.430708661417,45,278
-123.413976377953,45,293
-123.397244094488,45,242
-123.380511811024,45,240
-123.363779527559,45,207
-123.347047244094,45,111
-123.33031496063,45,78
-123.313582677165,45,91
-123.296850393701,45,78
-123.280118110236,45,77
-123.263385826772,45,67
-123.246653543307,45,81
-123.229921259843,45,98
-123.213188976378,45,66
-123.196456692913,45,81
-123.179724409449,45,82
-123.162992125984,45,101
-123.14625984252,45,219
-123.129527559055,45,272
-123.112795275591,45,190
-123.096062992126,45,130
-123.079330708661,45,90
-123.062598425197,45,46
-123.045866141732,45,40
-123.029133858268,45,42
-123.012401574803,45,44
-122.995669291339,45,50
-122.978937007874,45,54
-122.962204724409,45,57
-122.945472440945,45,57
-122.92874015748,45,58
-122.912007874016,45,60
-122.895275590551,45,63
-122.878543307087,45,60
-122.861811023622,45,63
-122.845078740157,45,62
-122.828346456693,45,59
-122.811614173228,45,77
-122.794881889764,45,119
-122.778149606299,45,170
-122.761417322835,45,185
-122.74468503937,45,183
-122.727952755906,45,244
-122.711220472441,45,307
-122.694488188976,45,320
-122.677755905512,45,326
-122.661023622047,45,304
-122.644291338583,45,236
-122.627559055118,45,340
-122.610826771654,45,498
-122.594094488189,45,467
-122.577362204724,45,388
-122.56062992126,45,359
-122.543897637795,45,469
-122.527165354331,45,597
-122.510433070866,45,648
-122.493700787402,45,567
-122.476968503937,45,387
-122.460236220472,45,530
-122.443503937008,45,723
-122.426771653543,45,887
-122.410039370079,45,961
-122.393307086614,45,725
-122.37657480315,45,623
-122.359842519685,45,659
-122.34311023622,45,703
-122.326377952756,45,746
-122.309645669291,45,968
-122.292913385827,45,911
-122.276181102362,45,777
-122.259448818898,45,831
-122.242716535433,45,960
-122.225984251968,45,1050
-122.209251968504,45,1305
-122.192519685039,45,1255
-122.175787401575,45,1064
-122.15905511811,45,1204
-122.142322834646,45,1055
-122.125590551181,45,927
-122.108858267717,45,805
-122.092125984252,45,703
-122.075393700787,45,655
-122.058661417323,45,578
-122.041929133858,45,665
-122.025196850394,45,840
-122.008464566929,45,1137
-121.991732283465,45,1361
-121.975,45,1357
-126.225,44.9832402234637,-2783
-126.208267716535,44.9832402234637,-2790
-126.191535433071,44.9832402234637,-2797
-126.174803149606,44.9832402234637,-2802
-126.158070866142,44.9832402234637,-2806
-126.141338582677,44.9832402234637,-2810
-126.124606299213,44.9832402234637,-2812
-126.107874015748,44.9832402234637,-2813
-126.091141732283,44.9832402234637,-2812
-126.074409448819,44.9832402234637,-2810
-126.057677165354,44.9832402234637,-2806
-126.04094488189,44.9832402234637,-2798
-126.024212598425,44.9832402234637,-2792
-126.007480314961,44.9832402234637,-2793
-125.990748031496,44.9832402234637,-2798
-125.974015748031,44.9832402234637,-2791
-125.957283464567,44.9832402234637,-2793
-125.940551181102,44.9832402234637,-2797
-125.923818897638,44.9832402234637,-2799
-125.907086614173,44.9832402234637,-2812
-125.890354330709,44.9832402234637,-2817
-125.873622047244,44.9832402234637,-2823
-125.85688976378,44.9832402234637,-2828
-125.840157480315,44.9832402234637,-2825
-125.82342519685,44.9832402234637,-2823
-125.806692913386,44.9832402234637,-2822
-125.789960629921,44.9832402234637,-2819
-125.773228346457,44.9832402234637,-2816
-125.756496062992,44.9832402234637,-2804
-125.739763779528,44.9832402234637,-2801
-125.723031496063,44.9832402234637,-2795
-125.706299212598,44.9832402234637,-2795
-125.689566929134,44.9832402234637,-2795
-125.672834645669,44.9832402234637,-2792
-125.656102362205,44.9832402234637,-2787
-125.63937007874,44.9832402234637,-2782
-125.622637795276,44.9832402234637,-2776
-125.605905511811,44.9832402234637,-2764
-125.589173228346,44.9832402234637,-2749
-125.572440944882,44.9832402234637,-2748
-125.555708661417,44.9832402234637,-2754
-125.538976377953,44.9832402234637,-2745
-125.522244094488,44.9832402234637,-2751
-125.505511811024,44.9832402234637,-2763
-125.488779527559,44.9832402234637,-2765
-125.472047244094,44.9832402234637,-2786
-125.45531496063,44.9832402234637,-2795
-125.438582677165,44.9832402234637,-2784
-125.421850393701,44.9832402234637,-2752
-125.405118110236,44.9832402234637,-2625
-125.388385826772,44.9832402234637,-2463
-125.371653543307,44.9832402234637,-2417
-125.354921259843,44.9832402234637,-2420
-125.338188976378,44.9832402234637,-2106
-125.321456692913,44.9832402234637,-2070
-125.304724409449,44.9832402234637,-2069
-125.287992125984,44.9832402234637,-1976
-125.27125984252,44.9832402234637,-1420
-125.254527559055,44.9832402234637,-1242
-125.237795275591,44.9832402234637,-1240
-125.221062992126,44.9832402234637,-1137
-125.204330708661,44.9832402234637,-1314
-125.187598425197,44.9832402234637,-1428
-125.170866141732,44.9832402234637,-1534
-125.154133858268,44.9832402234637,-1561
-125.137401574803,44.9832402234637,-1408
-125.120669291339,44.9832402234637,-1325
-125.103937007874,44.9832402234637,-1337
-125.087204724409,44.9832402234637,-1336
-125.070472440945,44.9832402234637,-1223
-125.05374015748,44.9832402234637,-1210
-125.037007874016,44.9832402234637,-1084
-125.020275590551,44.9832402234637,-1018
-125.003543307087,44.9832402234637,-936
-124.986811023622,44.9832402234637,-884
-124.970078740157,44.9832402234637,-729
-124.953346456693,44.9832402234637,-698
-124.936614173228,44.9832402234637,-704
-124.919881889764,44.9832402234637,-677
-124.903149606299,44.9832402234637,-674
-124.886417322835,44.9832402234637,-660
-124.86968503937,44.9832402234637,-672
-124.852952755906,44.9832402234637,-655
-124.836220472441,44.9832402234637,-645
-124.819488188976,44.9832402234637,-635
-124.802755905512,44.9832402234637,-617
-124.786023622047,44.9832402234637,-596
-124.769291338583,44.9832402234637,-604
-124.752559055118,44.9832402234637,-594
-124.735826771654,44.9832402234637,-581
-124.719094488189,44.9832402234637,-541
-124.702362204724,44.9832402234637,-441
-124.68562992126,44.9832402234637,-418
-124.668897637795,44.9832402234637,-434
-124.652165354331,44.9832402234637,-440
-124.635433070866,44.9832402234637,-445
-124.618700787402,44.9832402234637,-445
-124.601968503937,44.9832402234637,-451
-124.585236220472,44.9832402234637,-451
-124.568503937008,44.9832402234637,-449
-124.551771653543,44.9832402234637,-441
-124.535039370079,44.9832402234637,-428
-124.518307086614,44.9832402234637,-411
-124.50157480315,44.9832402234637,-392
-124.484842519685,44.9832402234637,-367
-124.46811023622,44.9832402234637,-337
-124.451377952756,44.9832402234637,-306
-124.434645669291,44.9832402234637,-274
-124.417913385827,44.9832402234637,-250
-124.401181102362,44.9832402234637,-227
-124.384448818898,44.9832402234637,-208
-124.367716535433,44.9832402234637,-191
-124.350984251968,44.9832402234637,-179
-124.334251968504,44.9832402234637,-172
-124.317519685039,44.9832402234637,-166
-124.300787401575,44.9832402234637,-161
-124.28405511811,44.9832402234637,-157
-124.267322834646,44.9832402234637,-153
-124.250590551181,44.9832402234637,-146
-124.233858267717,44.9832402234637,-132
-124.217125984252,44.9832402234637,-120
-124.200393700787,44.9832402234637,-115
-124.183661417323,44.9832402234637,-105
-124.166929133858,44.9832402234637,-98
-124.150196850394,44.9832402234637,-94
-124.133464566929,44.9832402234637,-85
-124.116732283465,44.9832402234637,-71
-124.1,44.9832402234637,-64
-124.083267716535,44.9832402234637,-58
-124.066535433071,44.9832402234637,-41
-124.049803149606,44.9832402234637,-34
-124.033070866142,44.9832402234637,-18
-124.016338582677,44.9832402234637,0
-123.999606299213,44.9832402234637,14
-123.982874015748,44.9832402234637,68
-123.966141732283,44.9832402234637,166
-123.949409448819,44.9832402234637,208
-123.932677165354,44.9832402234637,276
-123.91594488189,44.9832402234637,309
-123.899212598425,44.9832402234637,258
-123.882480314961,44.9832402234637,252
-123.865748031496,44.9832402234637,377
-123.849015748031,44.9832402234637,404
-123.832283464567,44.9832402234637,417
-123.815551181102,44.9832402234637,525
-123.798818897638,44.9832402234637,752
-123.782086614173,44.9832402234637,741
-123.765354330709,44.9832402234637,803
-123.748622047244,44.9832402234637,827
-123.73188976378,44.9832402234637,846
-123.715157480315,44.9832402234637,892
-123.69842519685,44.9832402234637,764
-123.681692913386,44.9832402234637,790
-123.664960629921,44.9832402234637,794
-123.648228346457,44.9832402234637,770
-123.631496062992,44.9832402234637,793
-123.614763779528,44.9832402234637,809
-123.598031496063,44.9832402234637,631
-123.581299212598,44.9832402234637,538
-123.564566929134,44.9832402234637,485
-123.547834645669,44.9832402234637,429
-123.531102362205,44.9832402234637,426
-123.51437007874,44.9832402234637,426
-123.497637795276,44.9832402234637,381
-123.480905511811,44.9832402234637,358
-123.464173228346,44.9832402234637,295
-123.447440944882,44.9832402234637,314
-123.430708661417,44.9832402234637,468
-123.413976377953,44.9832402234637,404
-123.397244094488,44.9832402234637,317
-123.380511811024,44.9832402234637,296
-123.363779527559,44.9832402234637,260
-123.347047244094,44.9832402234637,234
-123.33031496063,44.9832402234637,183
-123.313582677165,44.9832402234637,145
-123.296850393701,44.9832402234637,96
-123.280118110236,44.9832402234637,84
-123.263385826772,44.9832402234637,72
-123.246653543307,44.9832402234637,89
-123.229921259843,44.9832402234637,74
-123.213188976378,44.9832402234637,61
-123.196456692913,44.9832402234637,56
-123.179724409449,44.9832402234637,65
-123.162992125984,44.9832402234637,97
-123.14625984252,44.9832402234637,184
-123.129527559055,44.9832402234637,286
-123.112795275591,44.9832402234637,219
-123.096062992126,44.9832402234637,144
-123.079330708661,44.9832402234637,101
-123.062598425197,44.9832402234637,60
